Timestamp,X,Y,Z,u,v,l,theta
0.0,0.3593770811769857,0.6613464424772304,0.1881753915287347,717.3576786693152,253.31488419750724,3.188259832883354,3.2114745968715
0.04,0.2821748019707556,0.4836142698605656,0.22270764967876713,704.2949784105638,250.57180087489027,1.923459161117229,3.085340620851587
0.08,0.21107190776388862,0.3076943894119787,0.24296348150528738,685.9478894285083,249.8092155947468,1.501481577367589,2.7419301968635907
0.12,0.14283068735338642,0.138006822127524,0.24344542595104882,671.2042290437886,262.01452928986146,1.7211617178077065,2.661752080149203
0.16,0.07440120118719991,-0.03303955943744176,0.23351273902529462,654.9312687285633,267.8672376367068,2.095137497573867,2.4117076881324975
0.2,0.011848027819219512,-0.18941420305089263,0.20823598594737372,643.7702838652791,278.14322787594597,2.9198851640420007,2.256300661053926
0.24,-0.04838302728475769,-0.34232734396272474,0.17110328003755426,628.6466682858942,292.72994106231664,2.1557609781188445,2.403938764333551
0.28,-0.1065263780365853,-0.4933538115808443,0.12254282240154289,614.370617785188,310.5776106764294,2.1539596751783856,2.2488388359899525
0.32,-0.1626785258063267,-0.6406200204469678,0.06190760627400109,599.6106778050292,328.1833978196512,2.5807582054135367,1.9305115745552626
0.36,-0.2118579296021883,-0.7756520113483494,0.03759363299702956,588.3416302710564,341.03107802700407,1.6235161996932466,-2.2420709628906796
0.4,-0.24899642356988377,-0.8894593683828352,0.09068402466675685,584.3648713611323,334.4537856128804,0.5762386019198753,-2.634113943538213
0.44,-0.2860936268823153,-0.9974685160506424,0.12984071095926164,572.3582292481016,330.5920119283632,1.6380591867607457,-2.8055977201880595
