Timestamp,X,Y,Z,u,v,l,theta
0.0,0.3877696858326646,-1.539572040494441,0.4178724067249157,1039.1325414130497,334.41140267487236,8.941038566486238,-2.9032217353406944
0.04,0.35324374969398314,-1.2621796083278187,0.47439422240904033,969.8212176533002,320.4275482866756,9.337041131176269,-3.0027027568937794
0.08,0.32153914869506667,-0.9911711602745407,0.5033572750125224,900.0246030099871,313.3820243655016,9.038407476038877,-3.0624588531606083
0.12,0.2946686927452126,-0.7352411257169812,0.5131946580615946,832.4886806055637,311.1803341807094,8.032143441099201,3.1385838707506406
0.16,0.26997020848551545,-0.4859656592256567,0.5024475283530869,765.4357533053472,314.4427501791461,8.256981341256328,3.03023945764375
0.2,0.2547952239062595,-0.2364170437354324,0.47026102775023887,697.098429255062,323.1075151690557,8.569162664819764,2.977287533153299
0.24,0.23761366762995606,-0.01116897775150687,0.422246809723172,634.9473669225736,336.31133544032934,8.0818388755368,2.8853398427131096
0.28,0.22261029320005674,0.2037463350941892,0.3586274226753449,575.2712741017817,353.7410919328325,7.522491522862207,2.819313303180348
0.32,0.21128497944866306,0.41715568725566415,0.2742975996249358,515.8828003141925,376.619554543572,7.699399702370517,2.746412925463184
0.36,0.20009239382473157,0.6142650080717434,0.1765208595753809,461.0643542072545,403.15413273975963,7.933679637703582,2.6373984937696617
0.4,0.19110850700640697,0.8047874495811604,0.05985802151706396,408.34507485725214,434.55686485297326,7.799018803038278,2.57219354236385
0.44,0.18914786590753305,0.9741067908794595,0.09066193978329394,360.9322163792915,426.0479003385843,6.750569385470446,-2.5373394008285004
0.48,0.1916069028379205,1.132251289767553,0.19317964429238027,315.9300776632399,397.85465967394805,6.774107135388683,-2.65047874413702
0.52,0.19399287723927044,1.284919934916386,0.2740839266353341,272.25711931096583,375.2922142147072,6.134341222608942,-2.7888301960553643
0.56,0.1994843450052175,1.4287071048173443,0.33626206318861007,231.2380415116761,357.533560500987,4.460103662470223,-2.6578922484547784
0.6,0.20510898633443125,1.574099291232237,0.3783071115781654,189.8725488318928,345.2194814002506,4.731672083921377,-2.9014731409010426
