Timestamp,X,Y,Z,u,v,l,theta
0.0,-0.0183769456848112,-1.2547801658499491,0.1439581167265613,901.2341098902518,316.3482310561488,5.619542272627231,-2.876581375435395
0.04,0.03673458747643,-1.0194196077637696,0.1873361597099903,853.6479505966104,308.29124097118853,5.127484119962903,-2.8412914757268015
0.08,0.09283204968507786,-0.7930161919571904,0.2187533964151828,805.5186034193606,302.608874417374,6.059635431131218,-3.066938266288667
0.12,0.1493234224090618,-0.5756336768624845,0.23627154074714898,757.1518230396812,299.93925502170816,6.179410616380046,-3.107116967549236
0.16,0.20667854400850164,-0.3658770681360062,0.24123713153294724,708.4429949620285,300.1285584209257,6.273252603486714,3.114168204864255
0.2,0.2680716202285077,-0.1572117284601831,0.23328665208660188,657.820208648877,303.41380715389937,5.864808079754806,3.0320680273959733
0.24,0.32703583520394325,0.039701375925755046,0.21172085622096526,608.5491757746315,310.09937811469734,5.99290102457424,3.004726442365442
0.28,0.3827900974255172,0.2262996500307787,0.18214088583902574,560.6863121722793,318.91543288915165,6.477692392035917,2.9204756063827686
0.32,0.44206033778997206,0.4109013515875853,0.13932962562904813,511.72753996557344,331.19243131040304,6.0892699199742495,2.869687528761172
0.36,0.5017039177310303,0.5892625312359764,0.08431217495915558,463.2063376591042,346.747142654425,6.143919821992085,2.8007172160642044
0.4,0.5567222265907764,0.7540235774518637,0.0219246756074869,417.6326978871533,364.38028348369255,5.853146398039518,2.999721977935566
0.44,0.6041485233114225,0.8985429007015628,0.08187395831330707,376.1557431231573,350.1670136638663,5.134813408656572,-2.838644890378109
0.48,0.6521231165445427,1.0356513583246698,0.130174571794735,335.6832384957294,338.5426442857307,5.0931583531657285,-2.902249492964286
0.52,0.7003262556190102,1.167811015367782,0.16201684807491293,295.851663975321,330.99320643989404,7.0323624763520405,3.08728523880725
