Timestamp,X,Y,Z,u,v,l,theta
0.0,-0.0682401194708741,1.623466195796116,0.3290356347463863,212.48236312313122,317.2021876330252,23.90970527739577,-0.028711167034219345
0.04,-0.04611081461074372,1.149696014128238,0.34602745657237416,371.2236746363981,301.10844370546107,17.21938480964614,-0.20659774203628745
0.08,-0.019110489938566243,0.6990593749091619,0.3278639193754351,497.53795588134875,296.06520294462666,12.795033642812825,-0.06970153680351564
0.12,0.011800718449220824,0.28130889733688336,0.28512947219937124,598.8304904363941,302.93769624379854,10.932935240002138,0.028506919962985308
0.16,0.04139657008142518,-0.1227877011772086,0.22023015003450308,684.8171236209054,314.4077353604766,8.317293092332122,0.16186688099066765
0.2,0.07596468977738617,-0.4911312937940019,0.13026465673922233,751.265209023865,330.3928222976205,8.335202168430126,0.1302400251806759
0.24,0.11265825416280738,-0.8313619637474566,0.025022082645300998,807.8660978893416,348.83104244359515,6.406634134246447,0.26175294695729345
0.28,0.1426315634828134,-1.1160832138766872,0.10814425326363601,850.3473674143071,323.3774153864052,5.546188152484292,-0.6417640335786302
0.32,0.1678793433311948,-1.383493268884877,0.18520164880789997,893.4102346313032,300.94769259034433,5.600253044426074,-0.5048763377526276
0.36,0.19860661825828393,-1.6403176841151799,0.23973838353316812,927.3131793717669,285.42679418058987,4.328193566392705,-0.367691641665168
